City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
169,Ulladulla,AU,2021-11-11 18:29:22,-35.35,150.4667,54.88,92,100,6.51
170,Geraldton,AU,2021-11-11 18:29:22,-28.7667,114.6,50.41,93,2,2.3
171,Half Moon Bay,US,2021-11-11 18:29:22,37.4636,-122.4286,69.04,69,1,0.0
172,Phalaborwa,ZA,2021-11-11 18:29:23,-23.943,31.1411,74.48,52,68,14.83
173,Le Port,RE,2021-11-11 18:29:23,-20.9373,55.2919,75.2,92,34,2.24
174,Port Hardy,CA,2021-11-11 18:29:23,50.6996,-127.4199,48.2,81,75,28.77
175,San Policarpo,PH,2021-11-11 18:29:24,12.1791,125.5072,81.14,84,100,11.83
176,Necochea,AR,2021-11-11 18:29:24,-38.5473,-58.7368,79.84,41,18,14.0
177,Touros,BR,2021-11-11 18:29:24,-5.1989,-35.4608,88.7,63,42,16.78
178,Urusha,RU,2021-11-11 18:29:25,54.05,122.9,18.39,73,54,2.06
179,Sorong,ID,2021-11-11 18:29:25,-0.8833,131.25,79.03,84,99,3.04
180,Prince Albert,CA,2021-11-11 18:29:25,53.2001,-105.7677,24.75,80,90,12.66
181,Cururupu,BR,2021-11-11 18:29:26,-1.8283,-44.8683,88.72,49,22,8.37
182,Natchez,US,2021-11-11 18:29:26,31.5604,-91.4032,63.84,85,90,6.91
183,Tilichiki,RU,2021-11-11 18:30:26,60.4667,166.1,29.64,95,100,8.28
184,Miramar,US,2021-11-11 18:30:27,25.9873,-80.2323,83.01,73,75,11.5
185,Lorengau,PG,2021-11-11 18:30:27,-2.0226,147.2712,81.14,72,93,3.62
186,Nyagan,RU,2021-11-11 18:30:27,62.1406,65.3936,20.86,92,100,11.52
187,Port Macquarie,AU,2021-11-11 18:30:28,-31.4333,152.9167,67.96,100,90,3.44
188,Aktash,RU,2021-11-11 18:30:28,50.3,87.7333,9.86,61,100,4.12
189,Morant Bay,JM,2021-11-11 18:30:28,17.8815,-76.4093,85.62,74,82,11.23
190,Redwater,US,2021-11-11 18:30:28,33.3582,-94.2544,66.81,62,72,9.66
191,Lompoc,US,2021-11-11 18:30:29,34.6391,-120.4579,83.41,56,1,0.0
192,Renqiu,CN,2021-11-11 18:30:29,38.6989,116.0936,40.48,59,0,4.27
193,Ust-Kut,RU,2021-11-11 18:30:29,56.7938,105.7672,29.05,97,100,3.94
194,Zabol,AF,2021-11-11 18:30:30,32.25,67.25,42.67,33,0,6.02
195,Cabo San Lucas,MX,2021-11-11 18:30:30,22.8909,-109.9124,87.62,61,1,1.01
196,Barcelos,PT,2021-11-11 18:29:32,41.5388,-8.6151,57.92,83,0,4.21
197,Alta Floresta,BR,2021-11-11 18:30:30,-9.8756,-56.0861,78.62,83,75,9.22
198,Rawson,AR,2021-11-11 18:30:31,-43.3002,-65.1023,66.18,35,100,13.91
199,Totness,SR,2021-11-11 18:30:31,5.8833,-56.3167,81.09,77,56,9.37
200,Beruwala,LK,2021-11-11 18:30:31,6.4788,79.9828,79.29,86,71,13.78
201,Norman Wells,CA,2021-11-11 18:30:31,65.282,-126.8329,6.84,85,75,6.91
202,Soyo,AO,2021-11-11 18:30:32,-6.1349,12.3689,77.92,82,91,9.75
203,Barrow,US,2021-11-11 18:30:32,71.2906,-156.7887,17.62,79,90,13.8
204,Saint George,US,2021-11-11 18:30:32,37.1041,-113.5841,68.47,35,1,1.01
205,Fairbanks,US,2021-11-11 18:30:32,64.8378,-147.7164,-1.39,79,40,0.0
206,Tiksi,RU,2021-11-11 18:30:07,71.6872,128.8694,-13.56,100,59,6.8
207,Ostrovnoy,RU,2021-11-11 18:30:33,68.0531,39.5131,31.89,93,100,15.79
208,Fasa,IR,2021-11-11 18:30:33,28.9383,53.6482,54.64,38,0,6.91
