City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
468,Madisonville,US,51.62,overcast clouds,37.3281,-87.4989,Days Inn by Wyndham Madisonville
469,Yinchuan,CN,27.72,clear sky,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
470,Kamyshlov,RU,24.21,overcast clouds,56.8428,62.7111,"ТГРЦ ""Аврора"""
471,Seydi,TM,40.86,clear sky,39.4816,62.9137,Seydi oteli
472,Ormara,PK,74.61,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
473,Daru,PG,82.94,broken clouds,-9.0763,143.2092,Daru Lodge
474,Palmer,US,38.39,overcast clouds,42.1584,-72.3287,Wedgewood Motel
475,Lundazi,ZM,69.6,few clouds,-12.2929,33.1782,Knox Lodge
476,Petropavlovsk-Kamchatskiy,RU,34.39,light intensity shower rain,53.0452,158.6483,The Hotel Petropavlovsky
477,Yertsevo,RU,27.14,light snow,60.7966,40.086,Дом
479,Bandarbeyla,SO,75.29,scattered clouds,9.4942,50.8122,JABIR HOTEL
480,Mwanza,TZ,69.85,few clouds,-2.5167,32.9,Gold Crest Hotel
481,Saint Stephen,GB,48.47,overcast clouds,50.3333,-4.9,4 stepaside corner
482,Bosaso,SO,74.32,scattered clouds,11.2842,49.1816,Red Sea Hotel
483,Opoczno,PL,48.96,overcast clouds,51.3757,20.2783,Hotel Restauracja Park
484,Sagua La Grande,CU,74.39,broken clouds,22.8067,-80.0756,Hotel Telégrafo
485,Marrakesh,MA,53.67,scattered clouds,31.6315,-8.0083,Novotel Marrakech Hivernage
486,Cairns,AU,94.06,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
487,Nemuro,JP,39.63,clear sky,43.3236,145.575,Hotel Nemuro Kaiyoutei
489,Rawson,AR,69.57,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
490,Villa Del Rosario,CO,79.18,scattered clouds,7.8339,-72.4742,Hotel Villas de San Diego
492,Awbari,LY,59.16,broken clouds,26.5921,12.7805,فندق أوباري
493,Camocim,BR,80.73,broken clouds,-2.9022,-40.8411,Ilha Praia Hotel
494,Banjar,ID,82.26,overcast clouds,-8.19,114.9675,The Hamsa Resort
495,Miami,US,77.04,mist,25.7743,-80.1937,Miami Sun Hotel- Downtown/Port of Miami
496,Pahrump,US,63.25,overcast clouds,36.2083,-115.9839,Best Western Pahrump Oasis
497,Vrises,GR,57.96,broken clouds,35.492,23.8899,Porto Platanias Beach Resort & Spa
498,Pacific Grove,US,61.79,clear sky,36.6177,-121.9166,Lovers Point Inn
499,Manacapuru,BR,79.38,overcast clouds,-3.2997,-60.6206,Novo Hotel
500,Lewisporte,CA,32.38,scattered clouds,49.2499,-55.0482,Ocean View Bed & Breakfast
501,Vestmannaeyjar,IS,34.14,light snow,63.4427,-20.2734,Glamping & Camping
502,Tulln,AT,44.22,few clouds,48.3283,16.0586,Das Römerhof
503,San Vicente,AR,62.87,scattered clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
504,Maceio,BR,76.44,scattered clouds,-9.6658,-35.7353,Poutur Pousada
506,Oistins,BB,78.89,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
507,Skjervoy,NO,34.2,light snow,70.0311,20.9714,Skjervøy Byggeservice AS
508,Matara,LK,81.07,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
509,Shahr-E Kord,IR,42.57,broken clouds,32.3256,50.8644,Shahrekord Tourist Hotel
510,Timiryazevskiy,RU,19.17,overcast clouds,56.49,84.8769,Forum
512,Cacule,BR,71.28,overcast clouds,-14.5033,-42.2222,Radar Palace Hotel
514,Vao,NC,73.35,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
516,Ambon,ID,89.74,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
517,Sao Jose Da Coroa Grande,BR,78.17,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
518,Port Hedland,AU,96.85,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
519,Cortez,US,41.7,few clouds,37.3489,-108.5859,Sand Canyon National 9 Inn
520,Amahai,ID,87.19,broken clouds,-3.3333,128.9167,HOTEL ISABELA
521,Hauterive,FR,39.02,broken clouds,46.0901,3.4459,Aletti Palace Hotel
522,Mandalgovi,MN,6.62,clear sky,45.7625,106.2708,В.Ганбат
523,Tamandare,BR,77.92,broken clouds,-8.7597,-35.1047,Pousada 100 Passos
525,Pacifica,US,60.53,clear sky,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
526,Severodvinsk,RU,28.51,light snow,64.5635,39.8302,Park Hotel
527,Bathsheba,BB,79.41,few clouds,13.2167,-59.5167,Atlantis Hotel
528,Floridia,IT,56.43,clear sky,37.0869,15.1519,Cuore di Palme Siracusa
530,Warrington,GB,47.98,scattered clouds,53.3925,-2.5802,Patten Arms Hotel
531,Moindou,NC,80.55,light rain,-21.6924,165.677,Gite de la RYAWA
532,Bonavista,CA,36.12,overcast clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
533,Malanje,AO,63.23,overcast clouds,-9.5402,16.341,Malanje Hotel
534,Gunjur,GM,79.18,broken clouds,13.2019,-16.7339,Dalaba Eco-Lodge Gambia
535,Kautokeino,NO,21.83,snow,69.0125,23.0412,Thon Hotel Kautokeino
536,Antigonish,CA,38.55,clear sky,45.6169,-61.9986,Claymore Inn and Suites
537,Kalaleh,IR,46.0,clear sky,37.3807,55.4916,عطر و ادکلن پارسیس
538,Doba,TD,73.36,few clouds,8.65,16.85,Restaurant Auberge La Pétrolière
540,Shenjiamen,CN,63.82,broken clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
541,Narasannapeta,IN,80.49,few clouds,18.4167,84.05,G.lingaraju home
542,Plainview,US,48.45,few clouds,40.7765,-73.4673,Four Points by Sheraton Melville Long Island
543,Pontianak,ID,85.98,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
544,Mutis,CO,76.21,light rain,6.2262,-77.4044,Paraiso Escondido
545,Nong Bua,TH,85.06,scattered clouds,15.8646,100.5858,ลภัสรดารีสอร์ท
546,Digha,IN,79.14,clear sky,21.6833,87.55,Khoniker Atithi
547,Mujiayingzi,CN,30.07,overcast clouds,42.1167,118.7833,Jinjiang Hotel
548,Chumikan,RU,9.55,clear sky,54.7183,135.315,Fortuna
549,Bulgan,MN,6.75,few clouds,48.8125,103.5347,Unitel Булган салбар
550,Asau,RO,41.95,scattered clouds,46.4333,26.4,Casa Mika Ciobanus
551,Cochabamba,BO,67.75,broken clouds,-17.3895,-66.1568,Violetta's Apart Hotel
552,Luanda,AO,78.71,overcast clouds,-8.8368,13.2343,Hotel Fórum
553,Dong Xoai,VN,85.23,broken clouds,11.5333,106.9167,Khách Sạn Bình Phước - Khách Sạn Ngọc Lan
554,Okha,RU,30.47,overcast clouds,53.5739,142.9478,"Gostinitsa ""Sakhalin-Sfera"""
555,Effingham,US,56.84,scattered clouds,32.3669,-81.3332,Countryside Village
556,Te Anau,NZ,53.51,moderate rain,-45.4167,167.7167,Kingsgate Hotel Te Anau
557,Xique-Xique,BR,81.41,few clouds,-10.8218,-42.7263,Hotel J. Macedo
558,Barcelos,PT,58.91,overcast clouds,41.5388,-8.6151,Hotel Do Terço
559,Wanaka,NZ,53.04,overcast clouds,-44.7,169.15,Wanaka Homestead Lodge and Cottages
560,Makokou,GA,69.3,light rain,0.5738,12.8642,Motel des voyageurs
561,Black River,JM,80.6,broken clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
